hash,cadical_runtimes,cadical_elimfalse_runtimes,cadical_pripro_runtimes,cadical_stability_runtimes,candy_runtimes,glucose_chanseok_runtimes,glucose_runtimes,glucose_syrup_runtimes,glucose_var_decay099_runtimes,kissat_runtimes,kissat_sweep_runtimes,lingeling_runtimes,lstech_maple_runtimes,march_nh_runtimes,minisat__runtimes,relaxed__runtimes,slime_runtimes,yalsat_runtimes
a0585897e79756b9624673592d13ee06,2396.30,527.42,timeout,702.26,187.88,timeout,timeout,1470.57,timeout,141.19,137.38,timeout,605.27,timeout,timeout,404.76,637.46,timeout
a085449b0de14c330b1aa81db88830da,4458.86,timeout,timeout,timeout,timeout,1162.75,timeout,timeout,timeout,3018.03,2771.68,timeout,timeout,timeout,2773.06,timeout,timeout,timeout
a0a6bb5ddabb45e9d9556403e9003ea6,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
a0a95eb015371a5971b19b744b6b5748,2987.42,4623.75,1861.91,2623.52,timeout,timeout,timeout,timeout,timeout,2087.60,2402.75,3720.02,4112.98,timeout,timeout,4740.96,3909.46,timeout
a0ea9baeee31f43f20865dab8d2a731a,timeout,timeout,timeout,timeout,timeout,860.16,timeout,timeout,497.46,timeout,timeout,timeout,1894.14,timeout,timeout,4972.04,timeout,78.38
a111785645c000c86ac12a2665c05df7,7.09,9.89,5.79,3.09,2.29,0.89,0.59,7.94,0.99,2.29,3.89,23.18,3.69,1.39,1.19,9.59,14.49,timeout
a149574d35abd0827c7db04efa77cd26,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
a1ac7b063a4607af8a11f20a38e1081c,169.88,138.18,185.48,170.28,266.28,273.05,timeout,4285.46,101.56,45.18,47.18,118.89,338.28,timeout,328.14,203.88,675.95,timeout
a1ec978756e656638b7e34cef5ecaf6d,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
26710af10c1dddad49cc52d32b8d47f0,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
a332e1c6f390f39391ceef41af5833e9,16.79,54.19,23.28,20.99,11.89,8.58,4.58,24.57,4.89,14.69,21.39,47.49,20.39,1.09,40.19,25.69,28.09,timeout
a35140936a9aa31586aa03b2998e27c8,4921.22,timeout,987.25,timeout,timeout,timeout,timeout,timeout,timeout,timeout,4801.03,timeout,4363.03,timeout,timeout,2514.84,timeout,timeout
a354cf1d0fc39fc55215f7eb2c5b45d2,90.78,87.69,96.68,38.38,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,21.49,timeout,timeout,66.49,23.39,timeout
