  ,mean_fit_time     ,std_fit_time        ,mean_score_time      ,std_score_time        ,param_model__solver,param_model__max_iter,param_model__learning_rate,param_model__hidden_layer_sizes,param_model__alpha,params                                                                                                                                                        ,split0_test_score     ,split1_test_score   ,split2_test_score   ,mean_test_score     ,std_test_score      ,rank_test_score
29,20.994994401931763,0.27073312411375333 ,0.0043299198150634766,0.00047221338099847975,lbfgs              ,4008                 ,adaptive                  ,"(70, 70)"                     ,0.0001            ,"{'model__solver': 'lbfgs', 'model__max_iter': 4008, 'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (70, 70), 'model__alpha': 0.0001}"      ,-5.497674922673013    ,-12.679484271698142 ,-17.541041261816176 ,-11.90606681872911  ,4.947005768618662   ,30
30,3.797826608022054 ,0.04089047924200441 ,0.0036649703979492188,0.00047069636646335185,lbfgs              ,1012                 ,adaptive                  ,"(121,)"                       ,0.005             ,"{'model__solver': 'lbfgs', 'model__max_iter': 1012, 'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (121,), 'model__alpha': 0.005}"         ,-10.259945496407628   ,-21.45371745929649  ,-8.287286486553649  ,-13.333649814085923 ,5.797957675732962   ,31
31,22.26627031962077 ,0.17148230279781124 ,0.00765840212504069  ,0.0004676064610358626 ,lbfgs              ,1131                 ,adaptive                  ,"(485,)"                       ,0.05              ,"{'model__solver': 'lbfgs', 'model__max_iter': 1131, 'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (485,), 'model__alpha': 0.05}"          ,-22.357741027894175   ,-10.226469170134509 ,-11.658112825561812 ,-14.7474410078635   ,5.41294132520638    ,32
32,8.00609278678894  ,0.08512047949979197 ,0.006658792495727539 ,0.00047036209235207964,lbfgs              ,992                  ,adaptive                  ,"(152,)"                       ,0.01              ,"{'model__solver': 'lbfgs', 'model__max_iter': 992, 'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (152,), 'model__alpha': 0.01}"           ,-21.341161224691234   ,-15.081337982774492 ,-10.592521568321537 ,-15.671673591929087 ,4.407923601440007   ,33
33,54.90626605351766 ,12.893887589004894  ,0.006663878758748372 ,0.001699706560435264  ,lbfgs              ,8631                 ,constant                  ,"(152,)"                       ,0.0001            ,"{'model__solver': 'lbfgs', 'model__max_iter': 8631, 'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (152,), 'model__alpha': 0.0001}"        ,-38.000467836589486   ,-29.752152738014605 ,-23.58059279054305  ,-30.44440445504905  ,5.9072051155461     ,34
34,28.125919183095295,1.013868185566916   ,0.0053284962972005205,0.0012453236697538583 ,lbfgs              ,7956                 ,constant                  ,"(121,)"                       ,0.0001            ,"{'model__solver': 'lbfgs', 'model__max_iter': 7956, 'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (121,), 'model__alpha': 0.0001}"        ,-33.922473805163484   ,-27.131158702701114 ,-51.19181339999998  ,-37.41514863595486  ,10.12843716871447   ,35
35,1519.6711093584697,16.4317601088148    ,0.016657352447509766 ,0.00249387538677974   ,lbfgs              ,8888                 ,constant                  ,"(516, 516)"                   ,0.01              ,"{'model__solver': 'lbfgs', 'model__max_iter': 8888, 'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (516, 516), 'model__alpha': 0.01}"      ,-7.619441774504757    ,-134.24961681365258 ,-5.250606807308356  ,-49.03988846515523  ,60.260137175936286  ,36
36,107.5974748134613 ,0.8119424369935633  ,0.011661450068155924 ,0.00046844881941713576,lbfgs              ,2024                 ,adaptive                  ,"(264, 264)"                   ,0.001             ,"{'model__solver': 'lbfgs', 'model__max_iter': 2024, 'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (264, 264), 'model__alpha': 0.001}"     ,-3.7752336994010127   ,-5.3494586167913285 ,-140.01817088367827 ,-49.714287733290206 ,63.85772221666872   ,37
37,100.83984851837158,0.5480633037051635  ,0.011328856150309244 ,0.0024918148830914873 ,lbfgs              ,3929                 ,constant                  ,"(485,)"                       ,0.05              ,"{'model__solver': 'lbfgs', 'model__max_iter': 3929, 'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (485,), 'model__alpha': 0.05}"          ,-83.26882038017295    ,-59.56001737296373  ,-17.006587454411697 ,-53.27847506918278  ,27.413673089203765  ,38
38,117.43503832817078,5.537006601734516   ,0.008329232533772787 ,0.0009431340831003436 ,lbfgs              ,2837                 ,constant                  ,"(264, 264)"                   ,0.05              ,"{'model__solver': 'lbfgs', 'model__max_iter': 2837, 'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (264, 264), 'model__alpha': 0.05}"      ,-4.806080494685554    ,-7.43767574397757   ,-151.72487616821917 ,-54.656210802294105 ,68.64631900949718   ,39
