   ,mean_fit_time       ,std_fit_time          ,mean_score_time     ,std_score_time       ,param_model__C    ,param_model__cache_size,param_model__class_weight,param_model__gamma   ,param_model__kernel,param_model__max_iter,params                                                                                                                                                                                 ,split0_test_score  ,split1_test_score  ,split2_test_score  ,mean_test_score    ,std_test_score        ,rank_test_score
10 ,0.09461220105489095 ,0.00205331496561843   ,0.04864319165547689 ,0.004192352626360085 ,41.16544735823108 ,500                    ,                         ,0.08457817212014196  ,rbf                ,8809                 ,"{'model__C': 41.16544735823108, 'model__cache_size': 500, 'model__class_weight': None, 'model__gamma': 0.08457817212014196, 'model__kernel': 'rbf', 'model__max_iter': 8809}"         ,0.6507592190889371 ,0.6746203904555315 ,0.6413043478260869 ,0.6555613191235184 ,0.01401867320584314   ,11
11 ,0.08928219477335612 ,0.0037702323461565337 ,0.06128406524658203 ,0.002511089489273012 ,12.408592938416962,1000                   ,                         ,0.0931662984482124   ,rbf                ,8392                 ,"{'model__C': 12.408592938416962, 'model__cache_size': 1000, 'model__class_weight': None, 'model__gamma': 0.0931662984482124, 'model__kernel': 'rbf', 'model__max_iter': 8392}"        ,0.6507592190889371 ,0.6767895878524945 ,0.6391304347826087 ,0.6555597472413468 ,0.015744560021201653  ,12
12 ,0.08814303080240886 ,0.004833484440485315  ,0.04863858222961426 ,0.005246989991714623 ,27.133317233580577,1000                   ,                         ,0.0458522799264304   ,rbf                ,7460                 ,"{'model__C': 27.133317233580577, 'model__cache_size': 1000, 'model__class_weight': None, 'model__gamma': 0.0458522799264304, 'model__kernel': 'rbf', 'model__max_iter': 7460}"        ,0.6399132321041214 ,0.6702819956616052 ,0.6521739130434783 ,0.6541230469364016 ,0.012474368179110185  ,13
13 ,0.08298230171203613 ,0.0029714642737242464 ,0.05837639172871908 ,0.0057377042847259726,29.83273700614889 ,500                    ,                         ,0.08101323606865081  ,rbf                ,1270                 ,"{'model__C': 29.83273700614889, 'model__cache_size': 500, 'model__class_weight': None, 'model__gamma': 0.08101323606865081, 'model__kernel': 'rbf', 'model__max_iter': 1270}"         ,0.6464208242950108 ,0.6681127982646421 ,0.6478260869565218 ,0.6541199031720583 ,0.009911088927425434  ,14
14 ,0.07997957865397136 ,0.0024473243401987063 ,0.05460953712463379 ,0.006869835107206628 ,2.6720816866511363,200                    ,                         ,0.16636477229960864  ,rbf                ,4524                 ,"{'model__C': 2.6720816866511363, 'model__cache_size': 200, 'model__class_weight': None, 'model__gamma': 0.16636477229960864, 'model__kernel': 'rbf', 'model__max_iter': 4524}"        ,0.6529284164859002 ,0.6616052060737527 ,0.6478260869565218 ,0.6541199031720583 ,0.005688043676823565  ,14
15 ,0.08095375696818034 ,0.004318083763540426  ,0.0616311232248942  ,0.012491183723824493 ,11.148395887147208,500                    ,                         ,0.0775099901966172   ,rbf                ,6984                 ,"{'model__C': 11.148395887147208, 'model__cache_size': 500, 'model__class_weight': None, 'model__gamma': 0.0775099901966172, 'model__kernel': 'rbf', 'model__max_iter': 6984}"         ,0.648590021691974  ,0.6702819956616052 ,0.6434782608695652 ,0.6541167594077147 ,0.01161948570389263   ,16
16 ,0.0846395492553711  ,0.006537848027151267  ,0.04630255699157715 ,0.002860084505614078 ,19.533329604044695,200                    ,                         ,0.16442091832434197  ,rbf                ,3591                 ,"{'model__C': 19.533329604044695, 'model__cache_size': 200, 'model__class_weight': None, 'model__gamma': 0.16442091832434197, 'model__kernel': 'rbf', 'model__max_iter': 3591}"        ,0.6442516268980477 ,0.6746203904555315 ,0.6434782608695652 ,0.6541167594077147 ,0.014501693886399313  ,16
17 ,0.07994953791300456 ,0.004966070409716075  ,0.05936948458353678 ,0.003820462015217184 ,14.242271467168594,500                    ,                         ,0.1253846419846702   ,rbf                ,2996                 ,"{'model__C': 14.242271467168594, 'model__cache_size': 500, 'model__class_weight': None, 'model__gamma': 0.1253846419846702, 'model__kernel': 'rbf', 'model__max_iter': 2996}"         ,0.6507592190889371 ,0.6724511930585684 ,0.6391304347826087 ,0.6541136156433714 ,0.013808384293718914  ,18
18 ,0.08661762873331706 ,0.00573245386878867   ,0.05896615982055664 ,0.003739219738772026 ,32.41768431286508 ,200                    ,                         ,0.13793572402143084  ,rbf                ,5099                 ,"{'model__C': 32.41768431286508, 'model__cache_size': 200, 'model__class_weight': None, 'model__gamma': 0.13793572402143084, 'model__kernel': 'rbf', 'model__max_iter': 5099}"         ,0.6507592190889371 ,0.6746203904555315 ,0.6369565217391304 ,0.6541120437611997 ,0.015557909598952611  ,19
19 ,0.08528534571329753 ,0.005555348762357194  ,0.052640676498413086,0.006331715301099384 ,28.352547354208973,1000                   ,                         ,0.12457347888471555  ,rbf                ,2083                 ,"{'model__C': 28.352547354208973, 'model__cache_size': 1000, 'model__class_weight': None, 'model__gamma': 0.12457347888471555, 'model__kernel': 'rbf', 'model__max_iter': 2083}"       ,0.6442516268980477 ,0.6811279826464208 ,0.6369565217391304 ,0.6541120437611997 ,0.019333914161518     ,19
20 ,0.08661739031473796 ,0.0024930045975452195 ,0.05796631177266439 ,0.008281753213652206 ,20.438859950790576,1000                   ,                         ,0.14922453771381408  ,rbf                ,3294                 ,"{'model__C': 20.438859950790576, 'model__cache_size': 1000, 'model__class_weight': None, 'model__gamma': 0.14922453771381408, 'model__kernel': 'rbf', 'model__max_iter': 3294}"       ,0.6464208242950108 ,0.6702819956616052 ,0.6434782608695652 ,0.6533936936087271 ,0.012002103414266694  ,21
21 ,0.08386421203613281 ,0.002768567651260881  ,0.053969780604044594,0.004078975034935022 ,4.928966506152626 ,200                    ,                         ,0.17599171820122245  ,rbf                ,4623                 ,"{'model__C': 4.928966506152626, 'model__cache_size': 200, 'model__class_weight': None, 'model__gamma': 0.17599171820122245, 'model__kernel': 'rbf', 'model__max_iter': 4623}"         ,0.6507592190889371 ,0.6702819956616052 ,0.6391304347826087 ,0.6533905498443837 ,0.012852959774772391  ,22
22 ,0.08228540420532227 ,0.003680052345867904  ,0.05263678232828776 ,0.004187690336768312 ,17.580835850006284,500                    ,                         ,0.16508870804845696  ,rbf                ,8829                 ,"{'model__C': 17.580835850006284, 'model__cache_size': 500, 'model__class_weight': None, 'model__gamma': 0.16508870804845696, 'model__kernel': 'rbf', 'model__max_iter': 8829}"        ,0.6399132321041214 ,0.6724511930585684 ,0.6456521739130435 ,0.652672199691911  ,0.014180745096086042  ,23
